,SubjectID,TestType,Datestr,TrialNo,TrialStartTime,Correct,ReactionTime_s,HitRT_s,HitMiss,crossChange,crossOnset_s,index,TrialIdx,Change,TargetOnset,TargetAz,TargetEl,Sources,sL1,sF1,sL2,sF2,sL3,sF3,sL4,sF4,sL5,sF5,sL6,sF6,sL7,sF7,sL8,sF8,TargetSource
84,1,Behaviour_MultipleSources,2023-04-24_10-22-48,85,44:54.6,1,,,2,0,4.515,0,85,0,4.497,0,0,7,11,3,27,7,22,12,23,16,4,5,30,1,5,4,20,17,front
85,1,Behaviour_MultipleSources,2023-04-24_10-22-48,86,45:04.6,1,5.535704851150513,0.9837048511505132,1,0,4.36,0,86,1,4.552,72,0,8,13,11,1,8,26,16,27,5,17,12,29,2,9,7,25,1,right
86,1,Behaviour_MultipleSources,2023-04-24_10-22-48,87,45:14.7,0,6.915576219558716,,4,0,4.458,0,87,0,4.371,252,0,8,18,3,31,4,6,1,22,5,13,16,29,8,16,15,25,7,left
87,1,Behaviour_MultipleSources,2023-04-24_10-22-48,88,45:24.6,1,,,2,0,4.91,0,88,0,4.187,0,90,8,31,3,1,15,14,1,22,4,8,2,4,6,25,16,10,12,top
88,1,Behaviour_MultipleSources,2023-04-24_10-22-48,89,45:34.4,1,5.084600925445557,0.9776009254455564,1,0,4.346,0,89,1,4.107,0,0,8,11,9,11,7,7,6,2,12,4,8,16,16,9,5,19,4,front
89,1,Behaviour_MultipleSources,2023-04-24_10-22-48,90,45:44.0,1,5.573250055,1.104250055,1,0,4.608,0,90,1,4.469,0,0,7,11,11,27,6,22,13,23,16,29,5,18,2,10,1,20,17,front
90,1,Behaviour_MultipleSources,2023-04-24_10-22-48,91,45:54.1,1,6.198338031768799,1.2003380317687986,1,0,4.419,0,91,1,4.998,72,0,8,13,3,31,15,12,5,3,2,15,8,17,16,5,12,30,7,right
91,1,Behaviour_MultipleSources,2023-04-24_10-22-48,92,46:04.7,1,5.380928993225098,0.6459289932250973,1,0,4.936,0,92,1,4.735,252,0,6,18,14,6,16,27,13,3,1,8,7,25,5,20,17,1,17,left
92,1,Behaviour_MultipleSources,2023-04-24_10-22-48,93,46:15.0,1,5.319645881652832,0.5116458816528322,1,0,4.997,0,93,1,4.808,252,0,6,18,10,26,13,2,5,28,16,16,7,25,15,20,17,1,17,left
93,1,Behaviour_MultipleSources,2023-04-24_10-22-48,94,46:25.3,1,5.267162799835205,0.7891627998352053,1,0,4.988,0,94,1,4.478,72,0,7,13,11,26,1,22,2,8,13,17,16,18,5,25,8,20,17,right
94,1,Behaviour_MultipleSources,2023-04-24_10-22-48,95,46:35.4,1,5.342077970504761,0.8820779705047608,1,0,4.633,0,95,1,4.46,252,0,6,18,9,21,8,12,15,28,4,23,5,20,13,1,17,26,17,left
95,1,Behaviour_MultipleSources,2023-04-24_10-22-48,96,46:45.4,1,,,2,0,4.489,0,96,0,4.428,0,0,8,11,10,26,2,7,5,27,8,17,1,8,12,30,4,9,6,front
96,1,Behaviour_MultipleSources,2023-04-24_10-22-48,97,46:55.3,1,,,2,0,4.774,0,97,0,4.691,0,90,4,31,14,14,4,4,13,30,2,20,17,1,17,26,17,11,17,top
97,1,Behaviour_MultipleSources,2023-04-24_10-22-48,98,47:05.6,1,5.729449987411499,1.3324499874114988,1,0,4.707,0,98,1,4.397,72,0,5,13,3,26,1,16,6,29,5,25,8,20,17,1,17,11,17,right
98,1,Behaviour_MultipleSources,2023-04-24_10-22-48,99,47:15.5,1,,,2,0,4.433,0,99,0,4.855,72,0,7,13,3,6,6,3,1,23,8,4,13,30,7,25,4,20,17,right
99,1,Behaviour_MultipleSources,2023-04-24_10-22-48,100,47:25.9,1,,,2,0,4.61,0,100,0,4.835,0,0,8,11,9,11,13,14,1,3,16,16,6,17,7,10,15,25,5,front
100,1,Behaviour_MultipleSources,2023-04-24_10-22-48,101,47:36.3,1,,,2,0,4.868,0,101,0,4.814,72,0,7,13,10,31,4,14,15,8,5,16,6,30,13,25,1,20,17,right
101,1,Behaviour_MultipleSources,2023-04-24_10-22-48,102,47:46.7,1,5.632786273956299,0.8217862739562989,1,0,4.597,0,102,1,4.811,0,90,4,31,3,7,2,17,13,10,6,20,17,1,17,26,17,11,17,top
102,1,Behaviour_MultipleSources,2023-04-24_10-22-48,103,47:57.0,1,5.429949045181274,0.8789490451812743,1,0,4.078,0,103,1,4.551,252,0,8,18,11,31,8,21,15,7,12,14,2,23,16,4,13,24,1,left
103,1,Behaviour_MultipleSources,2023-04-24_10-22-48,104,48:07.1,0,7.988146781921387,,4,0,4.831,0,104,0,4.051,180,0,6,16,14,26,6,22,15,3,16,5,8,20,1,1,17,11,17,back
104,1,Behaviour_MultipleSources,2023-04-24_10-22-48,105,48:16.8,1,5.194262027740479,0.6572620277404786,1,0,4.709,0,105,1,4.537,72,0,7,13,10,6,13,22,1,8,4,17,12,24,15,5,5,20,17,right
105,1,Behaviour_MultipleSources,2023-04-24_10-22-48,106,48:26.8,1,5.644768953323364,0.787768953,1,0,4.764,0,106,1,4.857,252,0,4,18,11,31,6,28,16,16,5,20,17,1,17,26,17,11,17,left
106,1,Behaviour_MultipleSources,2023-04-24_10-22-48,107,48:37.3,1,5.657269001,1.2122690010070798,1,0,4.037,0,107,1,4.445,0,90,8,31,11,20,5,7,8,14,1,29,2,4,16,18,7,5,15,top
107,1,Behaviour_MultipleSources,2023-04-24_10-22-48,108,48:47.3,1,5.251683950424194,0.7896839504241946,1,0,4.899,0,108,1,4.462,0,0,8,11,10,26,8,14,16,27,13,15,7,8,6,30,1,5,12,front
108,1,Behaviour_MultipleSources,2023-04-24_10-22-48,109,48:57.3,1,,,2,0,4.42,0,109,0,4.432,180,0,8,16,14,11,12,21,2,13,7,14,15,16,13,18,16,10,6,back
109,1,Behaviour_MultipleSources,2023-04-24_10-22-48,110,49:07.3,1,5.506808042526245,0.5388080425262451,1,0,4.462,0,110,1,4.968,0,0,7,11,10,12,1,3,2,8,7,4,6,9,13,25,8,20,17,front
110,1,Behaviour_MultipleSources,2023-04-24_10-22-48,111,49:17.8,1,,,2,0,4.616,0,111,0,4.363,180,0,4,16,9,31,16,27,1,9,12,20,17,1,17,26,17,11,17,back
111,1,Behaviour_MultipleSources,2023-04-24_10-22-48,112,49:27.8,1,,,2,0,4.023,0,112,0,4.378,180,0,4,16,14,11,6,13,16,10,4,20,17,1,17,26,17,6,17,back
112,1,Behaviour_MultipleSources,2023-04-24_10-22-48,113,49:37.7,1,6.338123083114624,1.4591230831146245,1,0,4.584,0,113,1,4.879,0,0,5,11,11,22,7,16,12,9,8,30,5,20,17,1,17,26,17,front
113,1,Behaviour_MultipleSources,2023-04-24_10-22-48,114,49:48.1,1,4.782884836196899,0.6878848361968997,1,0,4.27,0,114,1,4.095,180,0,7,16,9,6,2,13,13,14,16,23,1,18,4,5,5,20,17,back
114,1,Behaviour_MultipleSources,2023-04-24_10-22-48,115,49:57.8,1,,,2,0,4.187,0,115,0,4.123,252,0,7,18,10,26,8,2,2,7,16,23,1,4,13,10,4,20,17,left
115,1,Behaviour_MultipleSources,2023-04-24_10-22-48,116,50:07.5,0,,,3,0,4.771,0,116,1,4.967,0,90,8,31,14,11,15,28,16,13,1,15,4,23,8,25,5,9,12,top
116,1,Behaviour_MultipleSources,2023-04-24_10-22-48,117,50:18.0,1,6.4480977058410645,1.556097705841064,1,0,4.661,0,117,1,4.892,0,90,7,31,10,27,7,22,15,15,6,16,8,18,2,19,1,20,17,top
