wav_number,Change,TargetOnset,Sources,Mono,sL1,sF1,sA1,sE1,sL2,sF2,sA2,sE2,sL3,sF3,sA3,sE3,sL4,sF4,sA4,sE4,sL5,sF5,sA5,sE5,sL6,sF6,sA6,sE6,sL7,sF7,sA7,sE7,sL8,sF8,sA8,sE8,subject,test_type,datestr
63,0,4.0,6,0,11,15,0,0,2,2,54,-56,15,16,144,0,8,4,162,-32,17,1,216,0,25,5,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
64,1,4.0,6,0,18,9,252,0,1,5,342,-56,27,6,54,56,3,4,126,-56,23,1,162,32,19,3,288,0,20,17,324,0,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
65,0,4.0,6,0,11,7,0,0,12,5,36,0,28,8,126,56,29,1,198,56,17,6,216,0,10,16,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
66,0,4.0,6,0,11,10,0,0,22,5,90,32,3,11,126,-56,4,3,198,-56,9,4,234,-32,20,16,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
67,1,4.0,6,0,18,10,252,0,6,1,18,-32,22,11,90,32,3,2,126,-56,8,16,162,-32,25,3,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
68,1,4.0,6,0,16,15,180,0,6,3,18,-32,13,8,72,0,15,6,144,0,17,12,216,0,10,11,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
69,0,4.0,6,0,11,15,0,0,2,3,54,-56,14,6,108,0,8,5,162,-32,17,4,216,0,25,2,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
70,1,4.0,6,0,13,14,72,0,11,5,0,0,28,6,126,56,16,2,180,0,9,11,234,-32,10,4,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
71,0,4.0,6,0,11,15,0,0,22,1,90,32,28,4,126,56,23,11,162,32,24,3,234,32,20,6,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
72,1,4.0,6,0,16,15,180,0,1,16,342,-56,12,6,36,0,28,1,126,56,5,12,270,-56,25,5,306,32,20,17,324,0,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
73,0,4.0,6,0,18,14,252,0,31,8,0,90,2,16,54,-56,28,3,126,56,29,2,198,56,10,5,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
74,0,4.0,6,0,18,15,252,0,6,2,18,-32,12,3,36,0,3,11,126,-56,4,8,198,-56,19,6,288,0,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
75,1,4.0,6,0,13,10,72,0,11,5,0,0,15,8,144,0,4,4,198,-56,30,1,270,56,10,3,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
76,0,4.0,6,0,13,7,72,0,31,16,0,90,15,1,144,0,4,12,198,-56,24,2,234,32,19,3,288,0,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
77,1,4.0,6,0,13,15,72,0,21,6,18,32,3,1,126,-56,29,3,198,56,9,16,234,-32,20,12,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
78,0,4.0,6,0,18,15,252,0,1,11,342,-56,27,1,54,56,15,2,144,0,16,4,180,0,25,12,306,32,20,17,324,0,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
79,1,4.0,6,0,16,14,180,0,11,5,0,0,27,16,54,56,28,3,126,56,5,6,270,-56,20,2,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
80,0,4.0,6,0,11,9,0,0,13,6,72,0,14,12,108,0,8,3,162,-32,5,1,270,-56,10,8,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
81,1,4.0,6,0,18,14,252,0,6,4,18,-32,7,12,90,-32,28,11,126,56,29,8,198,56,25,1,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
82,0,4.0,6,0,16,7,180,0,6,6,18,-32,27,11,54,56,14,16,108,0,5,3,270,-56,25,1,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
83,0,4.0,6,0,18,7,252,0,21,2,18,32,22,5,90,32,28,12,126,56,23,8,162,32,20,11,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
84,1,4.0,6,0,16,14,180,0,11,3,0,0,22,6,90,32,15,1,144,0,5,2,270,-56,20,4,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
85,1,4.0,6,0,13,15,72,0,11,6,0,0,3,12,126,-56,4,5,198,-56,18,11,252,0,10,1,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
86,0,4.0,6,0,18,10,252,0,1,6,342,-56,27,8,54,56,15,3,144,0,29,11,198,56,25,16,306,32,20,17,324,0,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
87,1,4.0,6,0,11,7,0,0,7,8,90,-32,14,6,108,0,4,16,198,-56,18,5,252,0,20,11,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
88,1,4.0,6,0,13,10,72,0,31,11,0,90,15,16,144,0,4,3,198,-56,5,1,270,-56,20,8,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
89,1,4.0,6,0,11,15,0,0,13,3,72,0,28,11,126,56,16,8,180,0,30,16,270,56,20,12,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
90,0,4.0,6,0,31,7,0,90,2,11,54,-56,3,2,126,-56,16,1,180,0,5,5,270,-56,10,6,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
91,1,4.0,6,0,18,14,252,0,26,6,342,56,12,2,36,0,15,4,144,0,16,3,180,0,25,11,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
92,0,4.0,6,0,13,10,72,0,11,5,0,0,14,8,108,0,4,11,198,-56,30,2,270,56,19,16,288,0,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
93,0,4.0,6,0,13,15,72,0,26,4,342,56,14,11,108,0,8,6,162,-32,17,8,216,0,19,12,288,0,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
94,0,4.0,6,0,11,10,0,0,13,11,72,0,3,4,126,-56,29,2,198,56,24,6,234,32,10,3,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
95,0,4.0,6,0,31,9,0,90,27,4,54,56,3,8,126,-56,4,11,198,-56,17,12,216,0,10,2,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
96,1,4.0,6,0,13,7,72,0,6,3,18,-32,15,8,144,0,8,1,162,-32,17,16,216,0,25,11,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
97,1,4.0,6,0,31,15,0,90,2,11,54,-56,14,3,108,0,4,6,198,-56,30,4,270,56,19,5,288,0,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
98,0,4.0,6,0,13,9,72,0,31,5,0,90,14,2,108,0,29,12,198,56,18,1,252,0,19,4,288,0,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
99,1,4.0,6,0,18,15,252,0,6,2,18,-32,2,1,54,-56,15,3,144,0,4,4,198,-56,10,5,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
100,1,4.0,6,0,31,14,0,90,7,3,90,-32,28,6,126,56,4,16,198,-56,9,11,234,-32,19,12,288,0,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
101,1,4.0,6,0,13,9,72,0,31,5,0,90,15,12,144,0,29,6,198,56,5,16,270,-56,25,4,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
102,1,4.0,6,0,11,10,0,0,12,3,36,0,3,5,126,-56,29,12,198,56,18,8,252,0,20,4,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
103,1,4.0,6,0,11,14,0,0,22,11,90,32,15,12,144,0,8,1,162,-32,30,3,270,56,19,2,288,0,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
104,1,4.0,6,0,18,9,252,0,11,2,0,0,2,6,54,-56,28,4,126,56,8,12,162,-32,20,11,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
105,0,4.0,6,0,16,15,180,0,21,1,18,32,22,11,90,32,3,2,126,-56,9,6,234,-32,20,4,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
106,0,4.0,6,0,18,10,252,0,6,16,18,-32,27,8,54,56,14,6,108,0,23,5,162,32,19,2,288,0,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
107,1,4.0,6,0,18,10,252,0,31,6,0,90,12,16,36,0,15,3,144,0,16,12,180,0,25,4,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
108,1,4.0,6,0,31,9,0,90,13,4,72,0,3,1,126,-56,23,8,162,32,18,12,252,0,10,5,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
109,1,4.0,6,0,16,9,180,0,31,6,0,90,7,5,90,-32,28,8,126,56,30,3,270,56,19,1,288,0,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
110,0,4.0,6,0,18,10,252,0,6,1,18,-32,12,12,36,0,14,3,108,0,23,2,162,32,19,16,288,0,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
111,1,4.0,6,0,31,14,0,90,22,16,90,32,28,8,126,56,8,1,162,-32,9,2,234,-32,10,6,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
112,1,4.0,6,0,11,7,0,0,2,11,54,-56,14,2,108,0,23,16,162,32,5,4,270,-56,20,1,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
113,0,4.0,6,0,18,7,252,0,11,6,0,0,7,16,90,-32,3,1,126,-56,8,3,162,-32,25,11,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
114,1,4.0,6,0,16,7,180,0,26,11,342,56,2,4,54,-56,28,16,126,56,18,2,252,0,19,6,288,0,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
115,1,4.0,6,0,16,7,180,0,31,1,0,90,7,2,90,-32,15,16,144,0,17,3,216,0,10,8,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
116,0,4.0,6,0,16,7,180,0,11,8,0,0,22,1,90,32,28,2,126,56,24,4,234,32,25,5,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
117,0,4.0,6,0,13,7,72,0,1,16,342,-56,14,6,108,0,16,4,180,0,5,3,270,-56,19,2,288,0,20,17,324,0,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
118,1,4.0,6,0,13,15,72,0,11,12,0,0,15,3,144,0,23,1,162,32,17,8,216,0,20,11,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
119,1,4.0,6,0,13,7,72,0,21,2,18,32,15,5,144,0,8,4,162,-32,17,8,216,0,25,1,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
120,0,4.0,6,0,11,9,0,0,13,3,72,0,28,6,126,56,23,4,162,32,24,5,234,32,25,2,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
121,1,4.0,6,0,31,10,0,90,12,2,36,0,14,11,108,0,4,4,198,-56,24,16,234,32,20,1,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
122,0,4.0,6,0,31,15,0,90,13,2,72,0,3,16,126,-56,29,3,198,56,18,1,252,0,20,5,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
123,0,4.0,6,0,13,14,72,0,31,12,0,90,15,4,144,0,8,2,162,-32,24,1,234,32,25,3,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
124,1,4.0,6,0,16,9,180,0,11,3,0,0,2,11,54,-56,15,5,144,0,9,4,234,-32,25,12,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
125,1,4.0,6,0,31,15,0,90,7,16,90,-32,3,3,126,-56,23,12,162,32,30,4,270,56,20,8,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
126,0,4.0,6,0,16,15,180,0,26,3,342,56,7,6,90,-32,3,11,126,-56,30,12,270,56,25,16,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
127,0,4.0,6,0,31,10,0,90,27,11,54,56,28,3,126,56,29,6,198,56,24,2,234,32,19,16,288,0,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
128,1,4.0,6,0,11,10,0,0,2,6,54,-56,28,1,126,56,16,12,180,0,24,11,234,32,25,5,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
129,0,4.0,6,0,31,14,0,90,13,8,72,0,15,11,144,0,23,5,162,32,17,2,216,0,20,16,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
130,1,4.0,6,0,11,15,0,0,27,1,54,56,15,12,144,0,29,11,198,56,30,8,270,56,19,3,288,0,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
131,1,4.0,6,0,31,10,0,90,2,4,54,-56,14,6,108,0,16,16,180,0,24,5,234,32,10,12,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
132,0,4.0,6,0,16,14,180,0,1,8,342,-56,22,16,90,32,15,1,144,0,9,2,234,-32,19,12,288,0,20,17,324,0,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
133,0,4.0,6,0,16,7,180,0,26,1,342,56,27,2,54,56,15,12,144,0,24,8,234,32,25,3,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
134,1,4.0,6,0,16,10,180,0,1,5,342,-56,12,16,36,0,15,3,144,0,30,6,270,56,19,8,288,0,20,17,324,0,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
